x coordinate,y coordinate,z coordinate
0.5218712099935214,-0.7478280448029897,-0.41037014460854165
0.5218712099935214,-0.7478280448029897,-0.41037014460854165
0.5109244176742821,-0.7560655598758388,-0.4090490295720433
0.4998808387652493,-0.7641598502276348,-0.4076504266346716
0.4887425652986392,-0.7721093825224618,-0.4061746007397411
0.4775117072450615,-0.7799126508465397,-0.40462183145924074
0.46619039211381846,-0.7875681769934954,-0.4029924129408723
0.45478076454988237,-0.7950745107443861,-0.40128665385232976
0.44328498592762594,-0.8024302301424203,-0.3995048773228266
0.4317052339413838,-0.8096339417623256,-0.3976474208818838
0.4200437021929231,-0.8166842809743105,-0.39571463639539095
0.4200437021929231,-0.8166842809743105,-0.39571463639539095
0.42461568964044705,-0.817564463848909,-0.3889599768133136
0.42915909908599204,-0.8183896220048363,-0.3821791389734415
0.43367362474348514,-0.8191596999062933,-0.37537257924797623
0.4381589627708257,-0.8198746457245605,-0.36854075574028533
0.44261481129033436,-0.8205344113414837,-0.36168412825407026
0.44704087040907037,-0.8211389523527144,-0.35480315826241965
0.45143684223901565,-0.8216882280706975,-0.3478983088767513
0.45580243091712347,-0.8221822015274105,-0.3409700448156432
0.46013734262523065,-0.8226208394768499,-0.3340188323735559
0.46013734262523065,-0.8226208394768499,-0.3340188323735559
0.46556459351071255,-0.8196838260503848,-0.3337184960121443
0.47097407318950846,-0.8167155242250747,-0.33340542118124805
0.476365575174736,-0.8137160473048645,-0.333079619831341
0.4817388936657449,-0.8106855097836939,-0.33274110439868493
0.48709382355597236,-0.8076240273411256,-0.3323898878048546
0.4924301604407726,-0.8045317168379306,-0.3320259834562448
0.497747700625219,-0.801408696311627,-0.33164940524355824
0.5030462411318792,-0.7982550849719738,-0.3312601675412754
0.5083255797085638,-0.7950710031964222,-0.3308582852071064
0.5083255797085638,-0.7950710031964222,-0.3308582852071064
0.5090586493566482,-0.7975674925629178,-0.32364391902534606
0.5097617777379553,-0.800017071458296,-0.316410517101962
0.5104349234966323,-0.802419595805847,-0.3091585048834466
0.5110780470403129,-0.8047749242964651,-0.30188830891089247
0.5116911105424444,-0.8070829183969604,-0.29460035679490476
0.5122740779445142,-0.8093434423582061,-0.28729507719045055
0.5128269149581693,-0.8115563632231232,-0.27997289977164647
